q,t,action,v
44,11.0,15.0,619.4412348369465
44,12.0,15.0,520.334338911195
44,13.0,15.0,420.26503260000004
44,14.0,10.0,319.992
44,15.0,5.0,220.0
45,1.0,25.0,287.2544721677956
45,2.0,20.0,911.7258767453666
45,3.0,20.0,906.2038168641972
45,4.0,20.0,898.9799894021369
45,5.0,20.0,877.6480560534541
45,6.0,20.0,839.903739200901
45,7.0,20.0,799.561057586782
45,8.0,20.0,759.06767326528
45,9.0,15.0,722.342640754097
45,10.0,15.0,685.485926821282
45,11.0,15.0,624.6780199729723
45,12.0,15.0,525.172226681425
45,13.0,15.0,424.9972532
45,14.0,15.0,325.015
45,15.0,5.0,225.0
46,1.0,20.0,292.0529730436799
46,2.0,20.0,930.5611252525899
46,3.0,20.0,924.9967423616345
46,4.0,20.0,916.1660408704169
46,5.0,20.0,890.1427609627958
46,6.0,20.0,851.303958600307
46,7.0,20.0,810.8952125143701
46,8.0,20.0,770.3785069714413
46,9.0,15.0,733.6433440963659
46,10.0,15.0,696.6148106144134
46,11.0,15.0,630.1234739635488
46,12.0,15.0,530.5335718261549
46,13.0,10.0,430.12085164999996
46,14.0,15.0,330.038
46,15.0,5.0,230.0
47,1.0,20.0,296.88440905507343
47,2.0,20.0,949.398086553612
47,3.0,20.0,943.6496345351597
47,4.0,20.0,932.3818188420514
47,5.0,20.0,902.147963316387
47,6.0,20.0,862.5093264878211
47,7.0,20.0,822.2028811732395
47,8.0,15.0,781.7328470705593
47,9.0,15.0,744.9804772078438
47,10.0,15.0,707.6842361139995
47,11.0,15.0,635.0384723865739
47,12.0,15.0,535.197917026735
47,13.0,10.0,435.28423239999995
47,14.0,10.0,335.03700000000003
47,15.0,5.0,235.0
48,1.0,25.0,301.69472338064145
48,2.0,20.0,968.1955894374697
48,3.0,20.0,962.1144544747842
48,4.0,20.0,947.5862755606837
48,5.0,20.0,914.1338465421849
48,6.0,20.0,873.6683890204157
48,7.0,20.0,833.4967280299468
48,8.0,20.0,793.1849888598275
48,9.0,20.0,756.3721771277447
48,10.0,15.0,718.5750032316544
48,11.0,15.0,640.3769075740237
48,12.0,15.0,540.39853387508
48,13.0,15.0,440.2566677
48,14.0,10.0,340.14599999999996
48,15.0,5.0,240.0
49,1.0,20.0,306.5147724008433
49,2.0,20.0,987.0055006938226
49,3.0,20.0,980.1869062665672
49,4.0,20.0,961.5999553366789
49,5.0,20.0,925.628672605502
49,6.0,20.0,885.3063910178739
49,7.0,20.0,844.8399532261323
49,8.0,20.0,804.4816162766203
49,9.0,15.0,767.6217290809997
49,10.0,15.0,728.7331912268933
49,11.0,15.0,645.2903750830689
49,12.0,15.0,545.271846888445
49,13.0,15.0,445.2566497
49,14.0,10.0,345.014
49,15.0,5.0,245.0
50,1.0,20.0,311.35306802750597
50,2.0,20.0,1005.7877246579055
50,3.0,20.0,997.7457990534842
50,4.0,20.0,974.9130891579996
50,5.0,20.0,936.9276011594409
50,6.0,20.0,896.6276071799526
50,7.0,20.0,856.0205248531993
50,8.0,15.0,815.738752608715
50,9.0,15.0,778.9065334842426
50,10.0,15.0,738.5334491539597
50,11.0,15.0,650.3231556848202
50,12.0,10.0,550.18265069168
50,13.0,10.0,450.2147253
50,14.0,10.0,349.95050000000003
50,15.0,5.0,250.0
51,1.0,20.0,316.1655691348233
51,2.0,20.0,1024.45925978556
51,3.0,20.0,1014.5417124367499
51,4.0,20.0,987.3568471163799
51,5.0,20.0,948.4595363380674
51,6.0,20.0,908.0528428293939
51,7.0,20.0,867.5122900499764
51,8.0,15.0,827.0602066889138
51,9.0,15.0,790.2226167767686
51,10.0,15.0,747.2389652779166
51,11.0,15.0,655.1309808418928
51,12.0,15.0,555.06950651968
51,13.0,10.0,455.3255212
51,14.0,10.0,355.13800000000003
51,15.0,5.0,255.0
52,1.0,20.0,320.97152332245196
52,2.0,20.0,1043.0540845012617
52,3.0,20.0,1030.3528892211898
52,4.0,20.0,999.351216747934
52,5.0,20.0,959.6046549363463
52,6.0,20.0,919.3775944786385
52,7.0,20.0,878.95197315444
52,8.0,15.0,838.4275653118649
52,9.0,15.0,801.6699133156677
52,10.0,15.0,755.1135844834243
52,11.0,15.0,660.1785338930077
52,12.0,10.0,560.388791391155
52,13.0,15.0,460.1704128
52,14.0,10.0,359.9615
52,15.0,5.0,260.0
53,1.0,20.0,325.80270873220536
53,2.0,20.0,1061.3315380799033
53,3.0,20.0,1045.2205902018081
53,4.0,20.0,1011.2405463731383
53,5.0,20.0,970.9794284108239
53,6.0,20.0,930.7253360007819
53,7.0,20.0,890.1957850784306
53,8.0,20.0,849.733060892231
53,9.0,15.0,812.8462364624025
53,10.0,15.0,762.4494415468985
53,11.0,15.0,665.0137873055833
53,12.0,10.0,565.22523828284
53,13.0,10.0,464.9427922
53,14.0,15.0,364.961
53,15.0,5.0,265.0
54,1.0,20.0,330.58045788556683
54,2.0,20.0,1079.1141164310668
54,3.0,20.0,1059.1361586084747
54,4.0,20.0,1022.6523547037789
54,5.0,20.0,982.3457773069223
54,6.0,20.0,941.7633348752787
54,7.0,20.0,901.5945137720809
54,8.0,15.0,861.0687298270142
54,9.0,15.0,824.1974139248305
54,10.0,15.0,768.5264086309419
54,11.0,15.0,670.3328169941276
54,12.0,10.0,570.36341874995
54,13.0,15.0,470.0213683
54,14.0,10.0,369.879
54,15.0,5.0,270.0
55,1.0,20.0,335.3067426008505
55,2.0,20.0,1096.407813263921
55,3.0,20.0,1072.0325171422794
55,4.0,20.0,1034.1581489148934
55,5.0,20.0,993.7967895091243
55,6.0,20.0,953.1494409891035
55,7.0,20.0,912.9857027357243
55,8.0,15.0,872.3145978828463
55,9.0,15.0,835.3598301229921
55,10.0,15.0,774.3680120510506
55,11.0,15.0,675.2998125707998
55,12.0,10.0,575.358506124685
55,13.0,10.0,475.0273177
55,14.0,15.0,374.94899999999996
55,15.0,5.0,275.0
56,1.0,20.0,339.9154407473761
56,2.0,20.0,1112.7484110134008
56,3.0,20.0,1084.5866856977582
56,4.0,20.0,1045.3309336069217
56,5.0,20.0,1005.2414659086627
56,6.0,20.0,964.6905077026854
56,7.0,20.0,924.0805239053358
56,8.0,15.0,883.7745724037052
56,9.0,15.0,846.6321858228986
56,10.0,15.0,779.9692116848239
56,11.0,15.0,680.2638599316347
56,12.0,10.0,580.20869420898
56,13.0,10.0,480.1621324
56,14.0,15.0,380.332
56,15.0,5.0,280.0
57,1.0,20.0,344.35893270374777
57,2.0,20.0,1128.2664912322812
57,3.0,20.0,1096.6849263599252
57,4.0,20.0,1056.7485507537408
57,5.0,20.0,1016.5894908193421
57,6.0,20.0,976.0396425401547
57,7.0,20.0,935.5788897443913
57,8.0,15.0,895.0118572406903
57,9.0,15.0,857.461506092693
57,10.0,15.0,784.9217101004447
57,11.0,15.0,685.3173630523293
57,12.0,15.0,585.402218090335
57,13.0,10.0,485.1621281
57,14.0,10.0,384.7745
57,15.0,5.0,285.0
58,1.0,20.0,348.39305093108703
58,2.0,20.0,1142.743736806159
58,3.0,20.0,1108.3549788408395
58,4.0,20.0,1068.1324691074087
58,5.0,20.0,1027.6730625520245
58,6.0,20.0,987.3120684396615
58,7.0,20.0,946.8323099293832
58,8.0,15.0,906.2532835537738
58,9.0,15.0,868.0207003613814
58,10.0,15.0,790.2000835475407
58,11.0,15.0,690.6532008667862
58,12.0,15.0,590.487432554255
58,13.0,10.0,490.08164220000003
58,14.0,10.0,390.02099999999996
58,15.0,5.0,290.0
59,1.0,20.0,351.94761296550735
59,2.0,20.0,1156.4790868107675
59,3.0,20.0,1119.894330954002
59,4.0,20.0,1079.3982223759488
59,5.0,20.0,1039.0598072826267
59,6.0,20.0,998.6662308783721
59,7.0,20.0,958.1701511388974
59,8.0,15.0,917.7478837456046
59,9.0,15.0,878.1258970133949
59,10.0,15.0,795.3862545247325
59,11.0,15.0,695.5160540525706
59,12.0,10.0,595.30485858887
59,13.0,10.0,495.30106875
59,14.0,15.0,395.12300000000005
59,15.0,5.0,295.0
60,1.0,20.0,354.835452884034
60,2.0,20.0,1169.3158941829738
60,3.0,20.0,1131.2163363977936
60,4.0,20.0,1090.8619702974338
60,5.0,20.0,1050.352188267739
60,6.0,20.0,1010.0740687018365
60,7.0,20.0,969.4486528436662
60,8.0,15.0,928.9520061075756
60,9.0,15.0,887.6360697196117
60,10.0,15.0,800.065752523086
60,11.0,10.0,700.2346927404674
60,12.0,15.0,600.4518354479701
60,13.0,10.0,500.04754275
60,14.0,10.0,400.418
60,15.0,5.0,300.0
61,1.0,20.0,356.94552517968555
61,2.0,20.0,1181.8394961463755
61,3.0,20.0,1142.5407312469156
61,4.0,20.0,1102.3613622238354
61,5.0,20.0,1061.7222852424245
61,6.0,20.0,1021.4146270298546
61,7.0,15.0,980.8666417307277
61,8.0,15.0,940.2300301763846
61,9.0,15.0,896.5200951968628
61,10.0,15.0,805.0778149951958
61,11.0,10.0,705.3577590508844
61,12.0,15.0,605.20827669914
61,13.0,15.0,504.98150710000004
61,14.0,15.0,405.114
61,15.0,5.0,305.0
62,1.0,20.0,358.1577065074439
62,2.0,20.0,1193.8168254110485
62,3.0,20.0,1153.8482082055666
62,4.0,20.0,1113.589285200705
62,5.0,20.0,1073.2189766651868
